chrom	start	end	weight	GC	E1
chr1	0	500000		0.4239639370392508	
chr1	500000	1000000		0.5014123585552157	
chr1	1000000	1500000		0.598332	
chr1	1500000	2000000		0.539498	
chr1	2000000	2500000		0.594508	
chr1	2500000	3000000		0.56862	
chr1	3000000	3500000		0.584572	
chr1	3500000	4000000		0.5481371428571429	
chr1	4000000	4500000	0.006125907239693554	0.482574	-0.4215584177800071
chr1	4500000	5000000		0.481828	
chr1	5000000	5500000	0.007639121068898181	0.447446	-0.5916907191239403
chr1	5500000	6000000	0.007274603492021584	0.49113	-0.3743559317510758
chr1	6000000	6500000		0.545072	
chr1	6500000	7000000		0.489968	
chr1	7000000	7500000		0.470672	
chr1	7500000	8000000		0.48825	
chr1	8000000	8500000		0.462702	
chr1	8500000	9000000		0.42601	
chr1	9000000	9500000		0.506692	
chr1	9500000	10000000		0.497248	
chr1	10000000	10500000		0.445162	
chr1	10500000	11000000		0.511386	
chr1	11000000	11500000		0.480212	
chr1	11500000	12000000		0.519874	
chr1	12000000	12500000		0.476294	
chr1	12500000	13000000		0.462062	
chr1	13000000	13500000		0.4604542857142857	
chr1	13500000	14000000		0.46614	
chr1	14000000	14500000	0.0074017991615900275	0.4314	-0.16539268192793777
chr1	14500000	15000000		0.431124	
chr1	15000000	15500000	0.0078051310799466716	0.494934	0.10757892287594469
chr1	15500000	16000000		0.472726	
chr1	16000000	16500000		0.513082	
chr1	16500000	17000000	0.008774641038463326	0.479312	1.5050579069757064
chr1	17000000	17500000		0.4994244444444444	
chr1	17500000	18000000		0.513392	
chr1	18000000	18500000		0.494528	
chr1	18500000	19000000		0.488698	
chr1	19000000	19500000		0.49686	
chr1	19500000	20000000		0.477782	
chr1	20000000	20500000		0.462494	
chr1	20500000	21000000		0.485118	
chr1	21000000	21500000		0.41547	
chr1	21500000	22000000		0.505598	
chr1	22000000	22500000		0.48992	
chr1	22500000	23000000		0.493016	
chr1	23000000	23500000		0.47373	
chr1	23500000	24000000		0.472092	
chr1	24000000	24500000		0.473276	
chr1	24500000	25000000		0.456138	
chr1	25000000	25500000		0.482684	
chr1	25500000	26000000		0.465824	
chr1	26000000	26500000		0.487938	
chr1	26500000	27000000		0.48615	
chr1	27000000	27500000		0.492838	
chr1	27500000	28000000		0.498338	
chr1	28000000	28500000	0.004119727299639402	0.444136	1.1600151272177286
chr1	28500000	29000000	0.004577569695359386	0.460588	1.2882174146625287
chr1	29000000	29500000	0.004283129709775017	0.449012	1.0233293187515031
chr1	29500000	30000000	0.004621920464045754	0.4907718431451378	0.19288462268045473
chr1	30000000	30500000	0.004418691278558326	0.4737072966066138	-0.2515185041216191
chr1	30500000	31000000	0.003799175519361796	0.481586	-0.15932964776388803
chr1	31000000	31500000	0.003705875345313428	0.479274	0.4129233940210911
