"seqnames"	"start"	"end"	"width"	"strand"	"Conc"	"Conc_KD"	"Conc_WT"	"Fold"	"p.value"	"FDR"
"chr19"	50982355	50982755	401	"*"	8.34513134781913	5.86430047258115	9.20975039513948	-3.22129751694956	2.32994935914632e-91	6.54552673464977e-87
"chr21"	45358905	45359305	401	"*"	8.38699922633655	6.19197849289128	9.22018071814655	-2.92766408190324	1.21875243657042e-83	1.71192061002864e-79
"chr15"	74913380	74913780	401	"*"	8.2935120233784	6.335792114049	9.09472449866661	-2.66980461092655	4.82200893434435e-73	4.5154898997512e-69
"chr10"	6130645	6131045	401	"*"	9.86146345344277	9.19430707064613	10.3159060372614	-1.11703365267237	5.342514871899e-64	3.75218175740647e-60
"chr9"	34675042	34675442	401	"*"	7.76323475454725	5.62382183783831	8.58944996608322	-2.81858757310854	3.92186315443994e-55	2.20353803195363e-51
"chr3"	51671869	51672269	401	"*"	7.81269397741973	5.96597680116004	8.59675877189876	-2.51888918862687	1.52485650012839e-49	7.13963227635115e-46
"chr15"	102042076	102042476	401	"*"	8.0331651749774	6.438616525225	8.77204037903359	-2.25279999678248	2.06462053280455e-49	8.28591208972547e-46
"chr22"	51213549	51213949	401	"*"	7.69813035611443	5.69699891023185	8.50564684088604	-2.66323371892674	4.19681494425855e-48	1.47376402786319e-44
"chr1"	109806180	109806580	401	"*"	9.01707543669187	8.09241609317513	9.57602394525486	-1.45972522014103	8.31695960350594e-48	2.59609273490325e-44
"chr1"	223936839	223937239	401	"*"	8.68154481089896	7.58005755094945	9.29880960880105	-1.68466311854255	3.49131299856272e-47	9.80814560686225e-44
"chr9"	139233629	139234029	401	"*"	8.36837071223047	7.07007002799445	9.04047480433039	-1.92024211331974	4.97569819420963e-47	1.27074808518119e-43
"chr16"	1991337	1991737	401	"*"	7.64068781358825	5.74330984945196	8.43276787118334	-2.55666764727318	6.91444531049697e-46	1.61872926756493e-42
"chr19"	19453538	19453938	401	"*"	7.4800880250278	5.46652616932267	8.28936998976999	-2.66485901266334	4.25749614825797e-44	9.20044917638547e-41
