chrom	start	end	weight	GC	E1
chr1	0	500000			
chr1	500000	1000000			
chr1	1000000	1500000			
chr1	1500000	2000000			
chr1	2000000	2500000			
chr1	2500000	3000000			
chr1	3000000	3500000	0.014824834624361766	0.3863301610585739	-0.24001418681898257
chr1	3500000	4000000	0.0163556116688857	0.387474	-0.2583350309014736
chr1	4000000	4500000	0.0150955097419993	0.390548	-0.042088250775546385
chr1	4500000	5000000	0.014711950106260514	0.410256	0.32225062873768756
chr1	5000000	5500000	0.01566135801638002	0.400804	-0.04141874155439413
chr1	5500000	6000000	0.014934157487986564	0.387562	-0.3711336051190937
chr1	6000000	6500000	0.014716513919007228	0.399466	-0.005548670676560771
chr1	6500000	7000000	0.013559520887112323	0.39082	-0.24098368112666577
chr1	7000000	7500000	0.014472719947390147	0.398422	-0.04760202578021949
chr1	7500000	8000000	0.016837541139877895	0.38529	-0.5448041624987581
chr1	8000000	8500000	0.01778592585213652	0.38151	-0.5069194600770648
chr1	8500000	9000000	0.014583144644183393	0.381416	-0.4085459002702849
chr1	9000000	9500000	0.013861661456689938	0.38685	-0.12359574937155453
chr1	9500000	10000000	0.013857939353071376	0.412256	0.7837423475288733
chr1	10000000	10500000	0.0146217677258133	0.399916	0.3327415725323437
chr1	10500000	11000000	0.01380407188125289	0.40056	-0.17289021202072094
chr1	11000000	11500000	0.01411040693287653	0.388552	-0.22515156493118108
chr1	11500000	12000000	0.015743278771478155	0.386586	-0.46072297783216626
chr1	12000000	12500000	0.01436012614703159	0.390078	-0.30624023422581836
chr1	12500000	13000000	0.014081181672137443	0.420816	0.05469533290704278
chr1	13000000	13500000	0.012749117297968675	0.438754	0.6921618244955859
chr1	13500000	14000000	0.01410376804670225	0.419836	0.06768685484242293
chr1	14000000	14500000	0.014212451273521607	0.406224	-0.12171099918585815
chr1	14500000	15000000	0.01336120792747341	0.403128	-0.2124518157519051
chr1	15000000	15500000	0.01508708400956179	0.398798	-0.449413128268335
chr1	15500000	16000000	0.013946259059433126	0.40993	0.04268093565282784
chr1	16000000	16500000	0.012805705879570969	0.41901	0.25695711593797255
chr1	16500000	17000000	0.01422488716522867	0.415316	0.14352382118869125
chr1	17000000	17500000	0.014126279675359156	0.392622	-0.2555610665342759
chr1	17500000	18000000	0.01598288470522819	0.3832	-0.5458489858445996
chr1	18000000	18500000	0.014869447674820707	0.379674	-0.791813084093452
chr1	18500000	19000000	0.015387289655934068	0.382122	-0.657983619212505
chr1	19000000	19500000	0.015026861292511354	0.395182	-0.44293081321654526
chr1	19500000	20000000	0.015160131537294926	0.3849	-0.644078594884004
chr1	20000000	20500000	0.015200169944071425	0.391746	-0.5474512447274834
chr1	20500000	21000000	0.013798479236970662	0.425278	0.12021492054582368
chr1	21000000	21500000	0.01362696559277787	0.430658	0.05648783938268682
chr1	21500000	22000000	0.013767591902554914	0.384076	-0.4728780255276388
chr1	22000000	22500000	0.015750881906151572	0.3894522326843213	-0.3273963511431346
chr1	22500000	23000000	0.015230665484166532	0.390878	-0.3739098461718888
chr1	23000000	23500000	0.014826023222433257	0.400228	-0.15723611413004332
chr1	23500000	24000000	0.013750159817081815	0.413832	-0.020211714518731494
chr1	24000000	24500000	0.014130258407256516	0.399544	0.11365456025996881
chr1	24500000	25000000	0.013815513727207154	0.398648	-0.1083374242806154
chr1	25000000	25500000	0.014964018458328949	0.383528	-0.5585257578239059
chr1	25500000	26000000	0.015683375703687184	0.372756745513491	-0.7619158660319794
chr1	26000000	26500000	0.015367456748371163	0.37267	-0.7462316622650201
chr1	26500000	27000000	0.014287340987643586	0.36782	-0.5544274831911191
chr1	27000000	27500000	0.01587703314394221	0.369018	-0.7854262193171977
chr1	27500000	28000000	0.016793179349436728	0.361722	-0.8797258716373302
chr1	28000000	28500000	0.015658566927498545	0.366014	-0.8313960008462331
chr1	28500000	29000000	0.01441712100851252	0.358122	-0.5940312925959536
chr1	29000000	29500000	0.015394774753827853	0.360398	-0.7943440429989906
chr1	29500000	30000000	0.01687651813257718	0.37449	-0.8386458784593604
chr1	30000000	30500000	0.01520942047042254	0.378802	-0.6700709146474437
chr1	30500000	31000000	0.014079034691516081	0.404458	-0.08624731226070657
chr1	31000000	31500000	0.014117301823598065	0.394172	-0.03806908128227936
chr1	31500000	32000000	0.0158182604678931	0.37613	-0.7787059514272678
chr1	32000000	32500000	0.015493961502768718	0.375254	-0.6289646034307541
chr1	32500000	33000000	0.01470347324585512	0.384808	-0.5241315355264782
chr1	33000000	33500000	0.015170071930164617	0.401712	-0.2836508107639144
chr1	33500000	34000000	0.013684364785234682	0.431266	0.7057127168665819
chr1	34000000	34500000	0.01414012005847535	0.443074	0.7089989864538334
chr1	34500000	35000000	0.012848665037681352	0.458604	0.5899372089801295
chr1	35000000	35500000	0.014157107435229513	0.431528	0.07534777212788367
chr1	35500000	36000000	0.013333977027831954	0.446324	0.44631641844746783
chr1	36000000	36500000	0.013264543535439292	0.47192	1.0398116085373326
chr1	36500000	37000000	0.013768890822608744	0.471184	1.1292874508190156
chr1	37000000	37500000	0.012521260664534142	0.456984	0.9872736183698029
chr1	37500000	38000000	0.013847522417839403	0.44085	0.9009331475023602
chr1	38000000	38500000	0.013217784084774462	0.434202	0.901363140175939
chr1	38500000	39000000	0.013042905675276526	0.445192	0.4479635217029849
chr1	39000000	39500000	0.012889936921981524	0.46091	0.6472137029015028
chr1	39500000	40000000	0.013518264788528224	0.454	0.7465625246177141
chr1	40000000	40500000	0.013655065730995362	0.437468	0.34411045043813293
chr1	40500000	41000000	0.013523123257775278	0.426368	0.04674951777439695
chr1	41000000	41500000	0.01427957073663555	0.400418	-0.5274340478376986
chr1	41500000	42000000	0.014524156988232943	0.380202	-0.730482519659652
chr1	42000000	42500000	0.014405731445737148	0.407508	-0.5076590735870676
chr1	42500000	43000000	0.013009291255315398	0.42987	0.08008976653319529
chr1	43000000	43500000	0.012997059309022622	0.435614	0.21240413184334955
chr1	43500000	44000000	0.012633562778288997	0.414234	0.3171320463253687
chr1	44000000	44500000	0.014185801449696174	0.398276	-0.09510755111391479
chr1	44500000	45000000	0.01557558947064408	0.379786	-0.7136199371134471
chr1	45000000	45500000	0.015366475972441418	0.374956	-0.7194184162080923
chr1	45500000	46000000	0.013946355699051574	0.394276	-0.43642346178655383
chr1	46000000	46500000	0.01519784011324693	0.3997	0.3149516409897898
chr1	46500000	47000000	0.015578436108489671	0.396674	0.016563022085837542
chr1	47000000	47500000	0.015368266036986059	0.381606	-0.7342660225373904
chr1	47500000	48000000	0.016062526656266826	0.371714	-0.9063618096952699
